precision,recall,threshold
0.5,1.0,-16.862114
0.5000250413181749,1.0,-16.131062
0.500050085144746,1.0,-15.999114
0.5000751314800902,1.0,-15.998611
0.5001001803245843,1.0,-15.990716
0.5001252316786055,1.0,-15.952875
0.5001502855425308,1.0,-15.928368
0.5001753419167376,1.0,-15.869061
0.5002004008016032,1.0,-15.834877
0.5002254621975049,1.0,-15.816048
0.5002505261048201,1.0,-15.811488
0.5002755925239264,1.0,-15.800445
0.5003006614552015,1.0,-15.794761
0.5003257328990228,1.0,-15.777662
0.5003508068557683,1.0,-15.754471
0.5003758833258156,1.0,-15.694598
0.5004009623095429,1.0,-15.692134
0.5004260438073279,1.0,-15.626332
0.5004511278195489,1.0,-15.613172
0.5004762143465837,1.0,-15.565009
0.5005013033888109,1.0,-15.555984
0.5005263949466086,1.0,-15.520866
0.500551489020355,1.0,-15.514108
0.5005765856104287,1.0,-15.512804
0.5006016847172082,1.0,-15.478
0.500626786341072,1.0,-15.462275
0.500651890482399,1.0,-15.459037
0.5006769971415677,1.0,-15.455274
0.5007021063189568,1.0,-15.438524
0.5007272180149456,1.0,-15.434568
0.5007523322299128,1.0,-15.4266405
0.5007774489642374,1.0,-15.415445
0.5008025682182986,1.0,-15.408228
0.5008276899924755,1.0,-15.39555
0.5008528142871476,1.0,-15.384099
0.500877941102694,1.0,-15.378066
0.5009030704394943,1.0,-15.37376
0.5009282022979279,1.0,-15.368342
0.5009533366783743,1.0,-15.344634
0.5009784735812133,1.0,-15.330911
0.5010036130068246,1.0,-15.33001
0.5010287549555879,1.0,-15.329702
0.5010538994278831,1.0,-15.315232
0.5010790464240903,1.0,-15.305306
0.5011041959445894,1.0,-15.288314
0.5011293479897606,1.0,-15.270917
0.501154502559984,1.0,-15.267447
0.5011796596556398,1.0,-15.261804
0.5012048192771085,1.0,-15.260119
0.5012299814247703,1.0,-15.243696
0.5012551460990059,1.0,-15.227902
0.5012803133001958,1.0,-15.226935
0.5013054830287206,1.0,-15.219613
0.5013306552849611,1.0,-15.214116
0.501355830069298,1.0,-15.211168
0.5013810073821122,1.0,-15.191134
0.5014061872237846,1.0,-15.189001
0.5014313695946964,1.0,-15.185362
0.5014565544952285,1.0,-15.184226
0.5014817419257622,1.0,-15.180238
0.5015069318866787,1.0,-15.174305
0.5015321243783594,1.0,-15.17232
0.5015573194011855,1.0,-15.167827
0.5015825169555388,1.0,-15.164139
0.5016077170418006,1.0,-15.162314
0.5016329196603527,1.0,-15.158119
0.5016581248115767,1.0,-15.151962
0.5016833324958545,1.0,-15.151665
0.5017085427135678,1.0,-15.138812
0.5017337554650988,1.0,-15.133727
0.5017589707508292,1.0,-15.13258
0.5017841885711414,1.0,-15.128796
