fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001001602564102564,-1.13137085e-05
0.0,0.24108573717948717,-1.7743154
0.0,0.24128605769230768,-1.7743661
0.0,0.2734375,-1.8502475
0.0,0.27363782051282054,-1.8505385
0.0,0.3463541666666667,-2.0299196
0.0,0.34655448717948717,-2.0301833
0.0,0.36899038461538464,-2.0889804
0.0,0.3691907051282051,-2.0892227
0.0,0.4667467948717949,-2.3273973
0.0,0.46694711538461536,-2.3276432
0.0,0.6423277243589743,-2.844684
0.0,0.6425280448717948,-2.8449714
0.0,0.7099358974358975,-3.0971467
0.0,0.710136217948718,-3.0972466
0.0,0.8905248397435898,-4.160767
0.00010016025641025641,0.8905248397435898,-4.1611295
0.00010016025641025641,0.8933293269230769,-4.1890464
0.00020032051282051281,0.8933293269230769,-4.1892686
0.00020032051282051281,0.8947315705128205,-4.1997533
0.00030048076923076925,0.8947315705128205,-4.200169
0.00030048076923076925,0.8965344551282052,-4.213519
0.00040064102564102563,0.8965344551282052,-4.214176
0.00040064102564102563,0.9122596153846154,-4.4064655
0.00040064102564102563,0.9124599358974359,-4.406645
0.00040064102564102563,0.9131610576923077,-4.4144893
0.000500801282051282,0.9131610576923077,-4.4149904
0.000500801282051282,0.9195713141025641,-4.4835534
0.000500801282051282,0.9197716346153846,-4.4870567
0.000500801282051282,0.9262820512820513,-4.581605
0.0006009615384615385,0.9262820512820513,-4.5824494
0.0006009615384615385,0.9282852564102564,-4.6024194
0.0007011217948717949,0.9282852564102564,-4.6064677
0.0007011217948717949,0.9299879807692307,-4.630595
0.0008012820512820513,0.9299879807692307,-4.6314836
0.0008012820512820513,0.9419070512820513,-4.810182
0.0009014423076923077,0.9419070512820513,-4.812121
0.0009014423076923077,0.9499198717948718,-4.9636173
0.001001602564102564,0.9499198717948718,-4.96435
0.001001602564102564,0.9561298076923077,-5.07444
0.0011017628205128205,0.9561298076923077,-5.077672
0.0011017628205128205,0.9610376602564102,-5.18995
0.001201923076923077,0.9610376602564102,-5.192206
0.001201923076923077,0.9630408653846154,-5.274163
0.0013020833333333333,0.9630408653846154,-5.2765303
0.0013020833333333333,0.9636418269230769,-5.2869053
0.0014022435897435897,0.9636418269230769,-5.294005
0.0014022435897435897,0.9678485576923077,-5.4136043
0.0015024038461538462,0.9678485576923077,-5.4158773
0.0015024038461538462,0.9705528846153846,-5.492806
0.0016025641025641025,0.9705528846153846,-5.4931746
0.0016025641025641025,0.9710536858974359,-5.4995213
0.001702724358974359,0.9710536858974359,-5.501332
0.001702724358974359,0.9711538461538461,-5.5018287
0.0018028846153846155,0.9711538461538461,-5.5055895
0.0018028846153846155,0.971854967948718,-5.5440536
0.0019030448717948718,0.971854967948718,-5.5470743
0.0019030448717948718,0.9723557692307693,-5.5862517
0.002003205128205128,0.9723557692307693,-5.5907373
0.002003205128205128,0.9743589743589743,-5.6611953
0.0021033653846153845,0.9743589743589743,-5.662639
0.0021033653846153845,0.9766626602564102,-5.768901
0.002203525641025641,0.9766626602564102,-5.770169
0.002203525641025641,0.9770633012820513,-5.784663
0.0023036858974358975,0.9770633012820513,-5.7911344
0.0023036858974358975,0.9783653846153846,-5.842795
0.002403846153846154,0.9783653846153846,-5.84735
0.002403846153846154,0.9791666666666666,-5.887799
