precision,recall,threshold
0.5069110576923077,1.0,-1.7960763
0.5069618351197035,1.0,-1.7607208
0.5070126227208976,1.0,-1.7569898
0.507063420498948,1.0,-1.7486309
0.5071142284569138,1.0,-1.7478405
0.5071650465978556,1.0,-1.7447473
0.5072158749248347,1.0,-1.7425089
0.5072667134409141,1.0,-1.7407298
0.507317562149158,1.0,-1.7402047
0.5073684210526316,1.0,-1.7386634
0.5074192901544015,1.0,-1.7385199
0.5074701694575353,1.0,-1.7377151
0.5075210589651022,1.0,-1.737343
0.5075719586801725,1.0,-1.7372054
0.5076228686058174,1.0,-1.7370474
0.5076737887451098,1.0,-1.7369567
0.5077247191011236,1.0,-1.736916
0.5077756596769338,1.0,-1.7362674
0.5078266104756171,1.0,-1.7360705
0.5078775715002509,1.0,-1.735962
0.5079285427539141,1.0,-1.7359023
0.5079795242396868,1.0,-1.7355973
0.5080305159606505,1.0,-1.7354802
0.5080815179198875,1.0,-1.7351592
0.5081325301204819,1.0,-1.7350999
0.5081835525655186,1.0,-1.7346457
0.508234585258084,1.0,-1.7342294
0.5082856282012654,1.0,-1.7341031
0.5083366813981519,1.0,-1.7340868
0.5083877448518332,1.0,-1.7339541
0.5084388185654009,1.0,-1.7335789
0.5084899025419471,1.0,-1.7334728
0.5085409967845659,1.0,-1.73326
0.5085921012963521,1.0,-1.7332438
0.508643216080402,1.0,-1.733086
0.508694341139813,1.0,-1.7330457
0.508745476477684,1.0,-1.7330073
0.5087966220971147,1.0,-1.7328001
0.5088477780012065,1.0,-1.7327515
0.5088989441930618,1.0,-1.7325779
0.5089501206757844,1.0,-1.7325321
0.5090013074524792,1.0,-1.732501
0.5090525045262523,1.0,-1.7323521
0.5091037119002112,1.0,-1.7322077
0.5091549295774648,1.0,-1.7320075
0.5092061575611229,1.0,-1.7319316
0.5092573958542966,1.0,-1.731809
0.5093086444600986,1.0,-1.7317057
0.5093599033816425,1.0,-1.7316954
0.5094111726220433,1.0,-1.7315793
0.5094624521844171,1.0,-1.7315484
0.5095137420718816,1.0,-1.731486
0.5095650422875554,1.0,-1.7313344
0.5096163528345584,1.0,-1.7313199
0.5096676737160121,1.0,-1.7312843
0.5097190049350387,1.0,-1.7311323
0.5097703464947623,1.0,-1.7308236
0.5098216983983076,1.0,-1.7307397
0.5098730606488011,1.0,-1.7306907
0.5099244332493703,1.0,-1.7305969
0.5099758162031439,1.0,-1.730561
0.5100272095132521,1.0,-1.7301961
0.510078613182826,1.0,-1.7299157
0.5101300272149984,1.0,-1.7298067
0.5101814516129032,1.0,-1.7297832
0.5102328863796753,1.0,-1.7297
0.5102843315184513,1.0,-1.7296946
0.5103357870323687,1.0,-1.7295862
0.5103872529245663,1.0,-1.729566
0.5104387291981846,1.0,-1.7293681
0.5104902158563648,1.0,-1.7293619
0.5105417129022496,1.0,-1.7293159
0.510593220338983,1.0,-1.7292383
0.5106447381697105,1.0,-1.7291096
0.5106962663975783,1.0,-1.7290014
0.5107478050257341,1.0,-1.7289963
0.5107993540573275,1.0,-1.7289351
0.5108509134955083,1.0,-1.7288359
0.5109024833434282,1.0,-1.7287868
0.5109540636042402,1.0,-1.7287456
0.5110056542810986,1.0,-1.7286521
0.5110572553771584,1.0,-1.7284659
0.5111088668955767,1.0,-1.7281529
0.5111604888395112,1.0,-1.7281036
0.5112121212121212,1.0,-1.7280965
0.5112637640165674,1.0,-1.7278796
0.5113154172560113,1.0,-1.7278663
0.5113670809336163,1.0,-1.7274394
0.5114187550525465,1.0,-1.7271692
0.5114704396159676,1.0,-1.7271142
0.5115221346270467,1.0,-1.7270713
0.5115738400889518,1.0,-1.727065
0.5116255560048524,1.0,-1.7270151
0.5116772823779193,1.0,-1.7269968
0.5117290192113245,1.0,-1.7268428
0.5117807665082414,1.0,-1.7266512
0.5118325242718447,1.0,-1.7266445
0.51188429250531,1.0,-1.7264371
0.5119360712118147,1.0,-1.7263759
0.5119878603945371,1.0,-1.7263225
0.5120396600566572,1.0,-1.7262399
0.5120914702013558,1.0,-1.726189
0.5121432908318154,1.0,-1.7261541
0.5121951219512195,1.0,-1.7259567
0.512246963562753,1.0,-1.7259482
0.5122988156696022,1.0,-1.7258111
0.5123506782749544,1.0,-1.7257499
0.5124025513819985,1.0,-1.7255013
0.5124544349939246,1.0,-1.725493
0.512506329113924,1.0,-1.7254648
0.5125582337451894,1.0,-1.7252723
0.5126101488909146,1.0,-1.7252342
0.512662074554295,1.0,-1.7251935
0.512714010738527,1.0,-1.7251134
0.5127659574468085,1.0,-1.7248927
0.5128179146823386,1.0,-1.724879
0.5128698824483178,1.0,-1.7246177
0.5129218607479477,1.0,-1.7246175
0.5129738495844314,1.0,-1.7240715
0.5130258489609731,1.0,-1.7239184
0.5130778588807786,1.0,-1.7239139
0.5131298793470547,1.0,-1.7237962
0.5131819103630095,1.0,-1.723639
0.5132339519318527,1.0,-1.7236191
0.5132860040567951,1.0,-1.7236075
0.5133380667410488,1.0,-1.7235193
0.5133901399878271,1.0,-1.7234838
0.513442223800345,1.0,-1.7234449
0.5134943181818182,1.0,-1.7232529
0.5135464231354643,1.0,-1.7231185
0.5135985386645018,1.0,-1.723108
0.5136506647721506,1.0,-1.7230184
0.5137028014616322,1.0,-1.7229114
0.5137549487361689,1.0,-1.7228881
0.5138071065989848,1.0,-1.7228876
0.5138592750533049,1.0,-1.72283
0.5139114541023558,1.0,-1.7228087
0.5139636437493653,1.0,-1.7226309
0.5140158439975625,1.0,-1.7222743
0.5140680548501777,1.0,-1.7222271
0.5141202763104429,1.0,-1.7221413
0.514172508381591,1.0,-1.7221268
0.5142247510668563,1.0,-1.7220961
0.5142770043694747,1.0,-1.7219275
0.5143292682926829,1.0,-1.7218684
0.5143815428397195,1.0,-1.721853
0.514433828013824,1.0,-1.7218013
0.5144861238182372,1.0,-1.7217411
0.5145384302562017,1.0,-1.7216942
0.5145907473309609,1.0,-1.7216586
0.5146430750457596,1.0,-1.7214243
0.5146954134038442,1.0,-1.7212029
0.5147477624084622,1.0,-1.7211412
0.5148001220628624,1.0,-1.7210253
0.5148524923702951,1.0,-1.7207241
0.5149048733340116,1.0,-1.7206832
0.5149572649572649,1.0,-1.7206262
0.5150096672433092,1.0,-1.720576
0.5150620801954,1.0,-1.7204525
0.5151145038167939,1.0,-1.7200878
0.5151669381107492,1.0,-1.7199607
0.5152193830805253,1.0,-1.7199138
0.515271838729383,1.0,-1.7199019
0.5153243050605845,1.0,-1.7198062
0.5153767820773931,1.0,-1.7197915
0.5154292697830737,1.0,-1.719668
0.5154817681808922,1.0,-1.7195678
0.5155342772741164,1.0,-1.7195138
0.5155867970660146,1.0,-1.7195086
0.5156393275598573,1.0,-1.7194866
0.5156918687589158,1.0,-1.7191267
0.5157444206664629,1.0,-1.7190664
0.5157969832857725,1.0,-1.7190081
0.5158495566201202,1.0,-1.7189333
0.5159021406727828,1.0,-1.7188439
0.5159547354470384,1.0,-1.7187114
0.5160073409461664,1.0,-1.7184114
0.5160599571734475,1.0,-1.7182288
0.516112584132164,1.0,-1.7176917
0.5161652218255992,1.0,-1.7176064
0.5162178702570379,1.0,-1.7174848
0.5162705294297664,1.0,-1.7173929
0.516323199347072,1.0,-1.7171531
0.5163758800122437,1.0,-1.7169055
0.5164285714285715,1.0,-1.7167639
0.5164812735993469,1.0,-1.7165859
0.5165339865278629,1.0,-1.7165089
0.5165867102174135,1.0,-1.7164665
0.5166394446712944,1.0,-1.7163134
0.5166921898928024,1.0,-1.7161249
0.5167449458852359,1.0,-1.7158561
0.5167977126518942,1.0,-1.7157874
0.5168504901960784,1.0,-1.7154523
0.5169032785210907,1.0,-1.7154086
0.5169560776302349,1.0,-1.7152954
0.5170088875268158,1.0,-1.7152504
0.5170617082141398,1.0,-1.7151034
0.5171145396955145,1.0,-1.7148716
0.5171673819742489,1.0,-1.7148159
0.5172202350536536,1.0,-1.7144545
0.5172730989370401,1.0,-1.7142481
0.5173259736277216,1.0,-1.7136345
0.5173788591290125,1.0,-1.713128
