fpr,tpr,threshold
0.0,0.0,inf
0.0,0.00019758940920766647,-0.0010216528
0.0,0.14937759336099585,-0.0063680504
0.00020312817387771684,0.14937759336099585,-0.0063701314
0.00020312817387771684,0.9636435487057894,-0.17985156
0.0006093845216331506,0.9636435487057894,-0.18254034
0.0006093845216331506,0.9857735625370481,-0.45386833
0.0008125126955108674,0.9857735625370481,-0.45825693
0.0008125126955108674,0.9907132977672397,-0.5832598
0.0010156408693885843,0.9907132977672397,-0.5901576
0.0010156408693885843,0.9915036554040704,-0.6557255
0.001218769043266301,0.9915036554040704,-0.6632967
0.001218769043266301,0.991701244813278,-0.683441
0.0016250253910217347,0.991701244813278,-0.7222177
0.0016250253910217347,0.992294013040901,-0.7271472
0.0018281535648994515,0.992294013040901,-0.7449357
0.0018281535648994515,0.9930843706777317,-0.8062027
0.0020312817387771686,0.9930843706777317,-0.8108465
0.0020312817387771686,0.9932819600869394,-0.81174326
0.0022344099126548854,0.9932819600869394,-0.81463355
0.0022344099126548854,0.993479549496147,-0.81922156
0.002437538086532602,0.993479549496147,-0.82027054
0.002437538086532602,0.99407231772377,-0.82600915
0.002640666260410319,0.99407231772377,-0.82620466
0.002640666260410319,0.9942699071329777,-0.8280838
0.0030469226081657527,0.9942699071329777,-0.8325274
0.0030469226081657527,0.994665085951393,-0.84064156
0.0032500507820434695,0.994665085951393,-0.8431398
0.0032500507820434695,0.9948626753606007,-0.8594343
0.003656307129798903,0.9948626753606007,-0.8712538
0.003656307129798903,0.9950602647698084,-0.8775874
0.005281332520820638,0.9950602647698084,-0.9009579
0.005281332520820638,0.996443390634262,-0.92233825
0.005687588868576072,0.996443390634262,-0.9255494
0.005687588868576072,0.9966409800434697,-0.929493
0.006093845216331505,0.9966409800434697,-0.93597287
0.006093845216331505,0.9968385694526773,-0.9380544
0.006500101564086939,0.9968385694526773,-0.93980443
0.006500101564086939,0.997036158861885,-0.9405717
0.00832825512898639,0.997036158861885,-0.95370066
0.00832825512898639,0.9972337482710927,-0.9538552
0.021531586431037985,0.9972337482710927,-0.96958935
0.021531586431037985,0.9974313376803003,-0.96992934
0.025187893560836887,0.9974313376803003,-0.972031
0.025187893560836887,0.997628927089508,-0.9723357
0.050375787121673773,0.997628927089508,-0.989772
0.050375787121673773,0.9978265164987157,-0.9898482
0.08795449928905139,0.9978265164987157,-1.0030166
0.08795449928905139,0.9980241059079233,-1.003204
0.09201706276660573,0.9980241059079233,-1.0045024
0.09201706276660573,0.998221695317131,-1.0045091
0.09222019094048345,0.998221695317131,-1.0045431
0.09222019094048345,0.9984192847263387,-1.004601
0.09993906154783669,0.9984192847263387,-1.0067786
0.10034531789559212,0.9984192847263387,-1.0067804
0.14442413162705667,0.9984192847263387,-1.0140963
0.14442413162705667,0.9986168741355463,-1.0141207
0.18281535648994515,0.9986168741355463,-1.0194428
0.18281535648994515,0.998814463544754,-1.0194743
0.1891123298801544,0.998814463544754,-1.0211717
0.1891123298801544,0.9990120529539617,-1.0212798
0.29250457038391225,0.9990120529539617,-1.0456645
0.29250457038391225,0.9992096423631693,-1.0457344
0.44952264879138737,0.9992096423631693,-1.0940711
0.4499289051391428,0.9992096423631693,-1.094163
0.5169612025187894,0.9992096423631693,-1.1885933
0.5169612025187894,0.999407231772377,-1.1900207
0.6309161080641885,0.999407231772377,-1.3474028
0.6313223644119439,0.999407231772377,-1.3474187
0.8330286410725167,0.999407231772377,-1.5671399
0.8330286410725167,0.9996048211815847,-1.5672909
0.8350599228112939,0.9996048211815847,-1.5692657
0.8350599228112939,0.9998024105907923,-1.5692667
0.8381068454194597,0.9998024105907923,-1.5707409
0.8381068454194597,1.0,-1.5709599
1.0,1.0,-1.7960763
